시설종별,시설명,소재지,시설규모,전화,FAX,이용자수,종사자,주요프로그램,소유자,비고,데이터기준일자
지역사회재활시설,성남시 한마음복지관,경기도 성남시 분당구 야탑로 227 (야탑동),대지 6165.10㎡ 건물 15549.93㎡,031-725-9500,031-725-9510,2500,69,체육시설+상담+재활+재가복지,사회복지법인(밀알복지재단),장애인 복지관,2024-06-14
지역사회재활시설,성남장애인종합복지관,경기도 성남시 중원구 사기막골로150번길 20 (상대원동),대지 956.37㎡ 건물1536.95㎡,031-733-3322,031-733-6166,600,34,상담+재활+재가복지,위탁(사단법인지체협회),장애인 복지관,2024-06-14
지역사회재활시설,점자도서관,경기도 성남시 분당구 야탑로 227 (야탑동),223.5㎡ (11.12.30설치),031-725-9570,,110,3,점자출력,사회복지법인(밀알복지재단),점자도서관,2024-06-14
지역사회재활시설,한마음 주간보호시설,경기도 성남시 분당구 야탑로 227 (야탑동),423.99㎡(11.9.26설치),031-725-9544,031-725-9510,40,10,교육지도,사회복지법인(밀알복지재단),주간보호시설,2024-06-14
지역사회재활시설,한우리 주간보호시설,"경기도 성남시 중원구 순환로226번길 8, 1층 (상대원동)",대지1779㎡ 건물798.67㎡,031-733-9944,031-733-9669,50,14,교육지도,위탁(사단법인지체협회),주간보호시설,2024-06-14
지역사회재활시설,성남행복누리센터,"경기도 성남시 중원구 도촌북로 92, 2층(도촌동)",160.3㎡,031-720-8500,,16,6,교육지도,위탁(재단법인여의도순복음연합),주간보호시설,2024-06-14
지역사회재활시설,판교장애인주간보호센터,"경기도 성남시 분당구 운중로 254, 3층 (판교동)",189.19㎡,031-703-8100,031-702-8101,20,6,교육지도,위탁(사단법인참사람들),주간보호시설,2024-06-14
지역사회재활시설,사랑의 학교 주간보호시설,"경기도 성남시 분당구 야탑로 245, 4층(야탑동, 목련프라자)",340.4㎡(노유자시설) (2011.4.14신규),031-698-2040,031-8017-0420,45,14,교육지도,사회복지법인) 할렐루야복지재단,주간보호시설,2024-06-14
지역사회재활시설,말아톤 주간보호시설,"경기도 성남시 분당구 내정로17번길 8, 5층(정자동, 샘물교회)",112.2㎡ 샘물교회 5층,031-718-3015,031-717-9456,30,8,교육지도,사회복지법인 말아톤복지재단,주간보호시설,2024-06-14
지역사회재활시설,우리주간보호센터,"경기도 성남시 분당구 황새울로311번길 9, 909호",108.68㎡,070-4820-2822,070-2820-6110,30,9,교육지도,대한예수교 장로회 분당우리교회,주간보호시설,2024-06-14
지역사회재활시설,서호주간센터,"경기도 성남시 수정구 복정로 109, 1층(복정동)",115.97㎡,031-757-0109,031-757-4109,40,11,교육지도,(사회복지법인)양친사회복지회,주간보호시설,2024-06-14
지역사회재활시설,마음톡톡센터,"경기도 성남시 분당구 성남대로 52, 501호(구미동, 그랜드프라자)",160.5㎡,031-719-6112,031-729-6110,16,6,교육지도,(사회복지법인)함께웃는재단,주간보호시설,2024-06-14
지역사회재활시설,은행다온주간보호센터,경기도 성남시 중원구 산성대로518번길 30(은행동),164.97㎡,031-743-7300,031-743-8300,16,4,교육지도,위탁(굿패밀리복지재단),주간보호시설,2024-06-14
지역사회재활시설,성남시장애인생활이동지원센터,"경기도 성남시 수정구 수정남로 10, 307호(수진동, 제일플라자)",건물 30㎡,031-749-1444,031-732-5762,80,8,차량지원서비스,시각장애인연합회 성남시지회,생활이동지원센터,2024-06-14
지역사회재활시설,성남시 수어통역센터,"경기도 성남시 수정구 수정남로 10, 306호(수진동, 제일플라자)",건물 40㎡,031-747-8572,031-748-2737,80,6,수화통역사업,한국농아인협회 성남시지부,수화통역 센터,2024-06-14
직업재활시설,가나안근로복지관,경기도 성남시 분당구 야탑로 225 (야탑동),대지 1624㎡ 건물 2246㎡,031-707-0546,031-707-0548,50,15,직업훈련,사회복지법인 가나안복지재단,근로작업장,2024-06-14
직업재활시설,성남시장애인복합사업장(더드림스토어),"경기도 성남시 중원구 둔촌대로 484, 201호(상대원동, sicoxtower)",건물 1648㎡,031-777-9041,031-777-9043,45,13,직업훈련,위탁 (밀알복지재단),근로작업장,2024-06-14
직업재활시설,샛별재활원,"경기도 성남시 중원구 사기막골로 124, B101호(상대원동, SK테크노파크 메가센터)",건물 310㎡(지하층),031-776-0481,031-776-0483,35,8,직업훈련,사단)샛별공동체,보호작업장,2024-06-14
직업재활시설,한가람보호작업장,"경기도 성남시 중원구 순환로226번길 8, 2층(상대원동)",건물 107.91㎡(주간보호센터 2층),031-736-0042,031-736-1114,30,8,작업훈련,위탁 (사단법인지체협회),보호작업장,2024-06-14
직업재활시설,성남시보호작업장,경기도 성남시 중원구 순환로226번길10(상대원동),대지 1648㎡ 건물 784.62㎡,031-734-9965,031-734-9966,38,8,작업훈련,위탁(사단법인지체협회) ,보호작업장,2024-06-14
직업재활시설,사랑-on보호작업장,"경기도 성남시 중원구 사기막골로 62번길 37,B207호(상대원동, 스타타워)",164.44㎡(지하2층),031-609-5060,031-8018-5071,30,8,작업훈련,사회복지법인(말아톤복지재단),보호작업장,2024-06-14
직업재활시설,선한이웃작업장,"경기도 성남시 분당구 판교로 723, 803호 및 611-1호(야탑동, 분당테크노파크 B동)",231㎡(지하2층),031-718-5005,031-718-0073,33,8,작업훈련,사단법인(빛과소금),보호작업장,2024-06-14
